Point,Latitude,Longitude,bird_abundance,bird_richness,plant_richness,plant_abundance,Canopy_openness,Distance_from_road,Distance_from_the_locality,Distance_Trail,t_Anacardiaceae,t_Bignoniaceae,t_Celastraceae,t_Clusiaceae,t_Combretaceae,t_Dilleniaceae,t_Dipterocarpaceae,t_Elaeocarpaceae,t_Euphorbiaceae,t_Fabaceae,t_Fagaceae,t_Lamiaceae,t_Malvaceae,t_Meliaceae,t_Moraceae,t_Myrtaceae,t_Phyllanthaceae,t_Sapindaceae,t_Theaceae,t_Thymelaeaceae,t_Verbenaceae,b_Accipitridae,b_Aegithinidae,b_Alcedinidae,b_Bucerotidae,b_Campephagidae,b_Chloropseidae,b_Cisticolidae,b_Columbidae,b_Corvidae,b_Cuculidae,b_Dicruridae,b_Leiothrichidae,b_Megalaimidae,b_Merles,b_Meropidae,b_Monarchidae,b_Muscicapidae,b_Nectariniidae,b_Pellorneidae,b_Phasianidae,b_Phylloscopidae,b_Pittidae,b_Psittaculidae,b_Pycnonotidae,b_Strigidae,b_Sturnidae,b_Zosteropidae
11,24.12077351,91.44692772,21,13,8,53,60,601,625,55,6,0,0,3,11,0,0,0,2,0,0,0,6,0,25,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,2,0,0,8,0,0,0,0,3,0,3,0,0,0,0,0
12,24.1211563,91.44969122,8,8,12,65,75,519,850,259,7,5,0,0,0,0,0,5,0,0,0,0,7,3,37,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0
13,24.12042471,91.45287778,10,8,10,38,75,695,1050,142,3,0,0,0,0,7,0,3,0,0,0,0,0,7,8,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,1,0,0,0,0,1,0,0,2,2,0,0,0
14,24.11891224,91.45531009,14,9,6,66,70,965,830,70,0,0,0,0,0,0,6,4,0,0,0,0,0,0,50,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,1,0,1,0,2,0,5,0,0,0,3,0,0,1,0,0,0
15,24.11867713,91.44807719,15,9,9,91,65,804,920,26,6,3,0,0,0,0,0,0,3,0,0,0,0,0,67,0,9,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,4,4
16,24.1193132,91.44519417,11,6,7,57,70,828,700,183,0,6,3,8,0,1,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,2,0,0,0,0,0,2,0,0,2,0,1,0,0,0,0,0
17,24.117193,91.44488898,20,11,6,51,70,1055,915,350,0,0,0,0,0,10,0,0,0,3,0,0,0,0,34,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,5,3,2,0,0,2,0,2,0,0,1,0,1,0
18,24.11632698,91.44681104,14,9,9,57,65,1080,1080,185,4,0,0,0,0,0,0,0,3,0,0,0,4,0,32,0,7,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,2,0,0,0,2,1,1,0,2,0,0,2,0
19,24.11712532,91.45006388,16,10,14,83,65,967,1200,100,0,7,0,7,17,2,0,0,0,0,3,0,0,3,10,3,10,0,0,0,8,0,0,0,1,0,0,2,1,0,1,5,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,1
20,24.11749592,91.45333014,9,6,7,63,70,1005,1140,243,0,0,4,0,15,0,0,0,0,0,0,0,0,0,33,5,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,2,0
21,24.1153212,91.45406168,3,3,11,81,75,1267,1080,160,0,0,0,4,18,0,0,0,0,0,2,0,0,10,31,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
22,24.1152259,91.45109523,13,9,9,78,65,1190,1380,53,0,0,0,0,9,0,0,0,5,3,0,0,3,0,35,0,11,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,3,1,1,0,0,1,2,0,0,0,0,0,0
23,24.11388198,91.44912402,7,6,9,64,70,1330,1270,202,0,0,0,0,0,0,0,2,10,0,0,0,0,0,40,0,5,3,0,0,4,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,1,1,0
24,24.11321502,91.45258307,10,7,4,110,60,1436,1340,49,3,0,0,0,0,0,0,0,0,0,0,86,0,0,21,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,3
25,24.11105118,91.45254024,21,10,8,71,75,1670,1250,41,0,4,0,0,0,2,0,0,0,0,0,0,3,0,60,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,1,0,0,1,2,1,0,11,0,0,1,0
26,24.11135037,91.44968023,21,9,11,64,70,1610,1140,331,0,3,0,0,12,8,0,0,5,0,0,0,6,0,14,4,0,0,9,0,0,0,0,0,0,0,0,1,1,0,0,6,0,2,0,4,0,0,0,0,0,1,0,3,0,0,3,0
27,24.10891696,91.45125504,20,12,12,65,70,1890,1180,350,0,3,0,0,8,0,0,0,1,0,0,16,0,2,25,0,4,5,0,0,0,0,0,0,1,1,0,0,1,0,0,3,0,0,0,2,2,0,0,3,1,2,0,2,0,0,1,1
28,24.10945097,91.45426598,25,8,7,84,75,1885,1420,39,0,0,0,0,0,0,0,2,0,0,0,57,2,0,20,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,8,0,0,0,1,0,0,0,0,3,0,0,9,0,0,3,0
